"","Year","Month","Day","Open","High","Low","Close","AdjClose","Volume","TRain"
"193","2019","10","07",26502.330078,26655.839844,26424.539063,26478.019531,26478.019531,195200000,6149
"194","2019","10","08",26276.589844,26421.810547,26139.800781,26164.039063,26164.039063,244590000,3111
"195","2019","10","09",26308.230469,26424.310547,26249.75,26346.009766,26346.009766,190060000,1551
"196","2019","10","10",26317.349609,26603.310547,26314.509766,26496.669922,26496.669922,217680000,3811
"197","2019","10","11",26694.199219,27013.970703,26694.199219,26816.589844,26816.589844,282080000,3589
"198","2019","10","14",26766.429688,26874.330078,26749.179688,26787.359375,26787.359375,178620000,1186
"199","2019","10","15",26811.199219,27120.109375,26811.199219,27024.800781,27024.800781,245510000,3748
"200","2019","10","16",26972.310547,27058.339844,26943.289063,27001.980469,27001.980469,214660000,4599
"201","2019","10","17",27032.380859,27112.160156,26970.289063,27025.880859,27025.880859,222540000,479
"202","2019","10","18",27004.490234,27018.25,26770.130859,26770.199219,26770.199219,288970000,2361
"203","2019","10","21",26852.669922,26852.669922,26747.619141,26827.640625,26827.640625,232530000,8906
"204","2019","10","22",26850.429688,26946.640625,26782.609375,26788.099609,26788.099609,265510000,1019
"205","2019","10","23",26835.240234,26896.890625,26745,26833.949219,26833.949219,247680000,536
"206","2019","10","24",26893.929688,26931.779297,26714.339844,26805.529297,26805.529297,253590000,4410
"207","2019","10","25",26789.609375,27015.369141,26765.679688,26958.060547,26958.060547,274610000,6055
"208","2019","10","28",27040.330078,27167.880859,27028.710938,27090.720703,27090.720703,290770000,555
"209","2019","10","29",27061.070313,27165.939453,27039.759766,27071.460938,27071.460938,269610000,5339
"210","2019","10","30",27110.710938,27204.359375,26999.640625,27186.689453,27186.689453,231750000,5582
"211","2019","10","31",27188.369141,27188.369141,26918.289063,27046.230469,27046.230469,270910000,1343
"212","2019","11","01",27142.949219,27347.429688,27142.949219,27347.359375,27347.359375,270870000,323
"213","2019","11","04",27402.060547,27517.580078,27402.060547,27462.109375,27462.109375,273030000,211
"214","2019","11","05",27500.230469,27560.359375,27453.550781,27492.630859,27492.630859,286350000,309
"215","2019","11","06",27502.740234,27526.050781,27407.810547,27492.560547,27492.560547,237910000,2412
"216","2019","11","07",27590.160156,27774.669922,27590.160156,27674.800781,27674.800781,259020000,4733
"217","2019","11","08",27686.199219,27694.949219,27578.970703,27681.240234,27681.240234,221440000,1381
"218","2019","11","11",27580.660156,27714.390625,27517.669922,27691.490234,27691.490234,202350000,506
"219","2019","11","12",27701.589844,27770.859375,27635.320313,27691.490234,27691.490234,213670000,463
"220","2019","11","13",27622.039063,27806.400391,27587.199219,27783.589844,27783.589844,278390000,641
"221","2019","11","14",27757.199219,27800.710938,27676.970703,27781.960938,27781.960938,303970000,2357
"222","2019","11","15",27843.539063,28004.890625,27843.539063,28004.890625,28004.890625,283720000,2221
"223","2019","11","18",27993.220703,28040.970703,27969.240234,28036.220703,28036.220703,252320000,267
"224","2019","11","19",28079.759766,28090.210938,27894.519531,27934.019531,27934.019531,245890000,530
"225","2019","11","20",27879.550781,27897.279297,27675.279297,27821.089844,27821.089844,258140000,2283
"226","2019","11","21",27820.279297,27828.330078,27708.339844,27766.289063,27766.289063,232020000,2271
"227","2019","11","22",27831.230469,27898.460938,27773.980469,27875.619141,27875.619141,214780000,2069
"228","2019","11","25",27917.769531,28068.689453,27917.769531,28066.470703,28066.470703,248420000,165
"229","2019","11","26",28080.75,28146.019531,28042.210938,28121.679688,28121.679688,324050000,1422
"230","2019","11","27",28156.470703,28174.970703,28075.230469,28164,28164,198210000,2925
"231","2019","11","29",28103.160156,28119.509766,28042.529297,28051.410156,28051.410156,120630000,2530
"232","2019","12","02",28109.740234,28109.839844,27782.349609,27783.039063,27783.039063,236610000,506
"233","2019","12","03",27501.980469,27524.740234,27325.130859,27502.810547,27502.810547,275350000,66
"234","2019","12","04",27634.630859,27727.449219,27612.080078,27649.779297,27649.779297,218200000,4903
"235","2019","12","05",27736.050781,27745.199219,27562.800781,27677.789063,27677.789063,208600000,61
